Experiment,epoch,step,val_acc,val_f1,val_loss,test_acc,test_f1
dl_baselines/mobilenet_v2,147.0,953.0,0.8904494643211365,0.8942360877990723,0.2847903966903686,0.9027777910232544,0.9030321836471558
dl_baselines/efficientnet_b5,97.0,635.0,0.9044944047927856,0.9041242599487304,0.2424591183662414,0.8861111402511597,0.890618622303009
dl_baselines/mobilevit_s,238.0,1536.0,0.8735954761505127,0.8728874921798706,0.3926105201244354,0.8833333253860474,0.8871398568153381
dl_baselines/inception_v3,114.0,741.0,0.8370786309242249,0.8369768261909485,0.4509543478488922,0.8472222089767456,0.8534365892410278
dl_baselines/resnet_50,205.0,1324.0,0.8314606547355652,0.834683895111084,0.4501174688339233,0.8194444179534912,0.8298391103744507
dl_baselines/efficientnet_b7,139.0,900.0,0.783707857131958,0.7725421786308289,0.5588008761405945,0.7861111164093018,0.7836201190948486
